Year,Units,Atvinnugrein,Value
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.60324
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.52115
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.50464
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.49353
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.46874
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.38026
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.35977
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.36717
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.31632
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.29282
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.44188
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.44226
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.43164
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.57953
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.53576
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.55361
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.55038
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.51377
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.52778
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.43629
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.45248
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.38961
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.445
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.3764
1997,Millj. kr á íbúa,C. Framleiðsla,0.28132
1998,Millj. kr á íbúa,C. Framleiðsla,0.29684
1999,Millj. kr á íbúa,C. Framleiðsla,0.27811
2000,Millj. kr á íbúa,C. Framleiðsla,0.29298
2001,Millj. kr á íbúa,C. Framleiðsla,0.37466
2002,Millj. kr á íbúa,C. Framleiðsla,0.34447
2003,Millj. kr á íbúa,C. Framleiðsla,0.33136
2004,Millj. kr á íbúa,C. Framleiðsla,0.34844
2005,Millj. kr á íbúa,C. Framleiðsla,0.31237
2006,Millj. kr á íbúa,C. Framleiðsla,0.3632
2007,Millj. kr á íbúa,C. Framleiðsla,0.35197
2008,Millj. kr á íbúa,C. Framleiðsla,0.54579
2009,Millj. kr á íbúa,C. Framleiðsla,0.55872
2010,Millj. kr á íbúa,C. Framleiðsla,0.67587
2011,Millj. kr á íbúa,C. Framleiðsla,0.72323
2012,Millj. kr á íbúa,C. Framleiðsla,0.67193
2013,Millj. kr á íbúa,C. Framleiðsla,0.70079
2014,Millj. kr á íbúa,C. Framleiðsla,0.72128
2015,Millj. kr á íbúa,C. Framleiðsla,0.73781
2016,Millj. kr á íbúa,C. Framleiðsla,0.69654
2017,Millj. kr á íbúa,C. Framleiðsla,0.68591
2018,Millj. kr á íbúa,C. Framleiðsla,0.67204
2019,Millj. kr á íbúa,C. Framleiðsla,0.72081
2020,Millj. kr á íbúa,C. Framleiðsla,0.69228
2021,Millj. kr á íbúa,C. Framleiðsla,0.78754
1997,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.13055
1998,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.13555
1999,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.12299
2000,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.1158
2001,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.17401
2002,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.14485
2003,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.13343
2004,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.12789
2005,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.11327
2006,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.11836
2007,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.10751
2008,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.19525
2009,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.26475
2010,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.25409
2011,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.28985
2012,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.29761
2013,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.31918
2014,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.29717
2015,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.31425
2016,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.29704
2017,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.28315
2018,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.1732
2019,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.18535
2020,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.33764
2021,Millj. kr á íbúa,C: 10-12 Matvæla- og drykkjavöruiðnaður; tóbaksiðnaður,0.37311
1997,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.01044
1998,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00906
1999,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00892
2000,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00854
2001,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00872
2002,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00908
2003,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00837
2004,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00758
2005,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00724
2006,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00599
2007,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00607
2008,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00541
2009,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00807
2010,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00838
2011,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.009
2012,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00906
2013,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00937
2014,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.01025
2015,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00941
2016,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00856
2017,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00798
2018,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00835
2019,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00883
2020,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.00829
2021,Millj. kr á íbúa,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.01
1997,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00739
1998,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00719
1999,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00737
2000,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00786
2001,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00819
2002,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00877
2003,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00915
2004,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00844
2005,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00854
2006,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00914
2007,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.0067
2008,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00612
2009,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00529
2010,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00478
2011,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00469
2012,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00433
2013,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00517
2014,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00564
2015,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00544
2016,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00624
2017,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00661
2018,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00563
2019,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00546
2020,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00454
2021,Millj. kr á íbúa,C: 16-17 Trjá- og pappírsiðnaður,0.00513
1997,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00721
1998,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00857
1999,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00883
2000,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00803
2001,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00834
2002,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00821
2003,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00801
2004,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00977
2005,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00929
2006,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00971
2007,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01357
2008,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01663
2009,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01703
2010,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01764
2011,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01801
2012,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01737
2013,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01907
2014,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01917
2015,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01919
2016,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.02089
2017,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01849
2018,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01558
2019,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.01387
2020,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00964
2021,Millj. kr á íbúa,C: 18 Prentun og fjölföldun upptekins efnis,0.00991
1997,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
1998,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
1999,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2000,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2001,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2002,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2003,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2004,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2005,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2006,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2007,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2008,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2009,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2010,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,1e-05
2011,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,1e-05
2012,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2013,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,3e-05
2014,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,4e-05
2015,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,-0.00011
2016,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00013
2017,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00091
2018,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00117
2019,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00098
2020,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00043
2021,Millj. kr á íbúa,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00049
1997,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.01133
1998,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.01249
1999,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.01272
2000,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.01408
2001,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.01847
2002,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02001
2003,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.0273
2004,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.03406
2005,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02041
2006,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02079
2007,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02192
2008,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.03066
2009,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02612
2010,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02523
2011,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02608
2012,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02354
2013,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02468
2014,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02523
2015,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02291
2016,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.02062
2017,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.00555
2018,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.00336
2019,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.01191
2020,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.01938
2021,Millj. kr á íbúa,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.01717
1997,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00824
1998,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00847
1999,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00848
2000,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00818
2001,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00882
2002,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.0084
2003,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00929
2004,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00951
2005,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00875
2006,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00717
2007,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00798
2008,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00888
2009,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00799
2010,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00714
2011,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00811
2012,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00848
2013,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00893
2014,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00898
2015,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.01078
2016,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00981
2017,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00962
2018,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00973
2019,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00956
2020,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00774
2021,Millj. kr á íbúa,C: 22 Framleiðsla á gúmmí- og plastvörum,0.00867
1997,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01224
1998,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.013
1999,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01224
2000,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01523
2001,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01605
2002,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01478
2003,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01532
2004,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01722
2005,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.02231
2006,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.02838
2007,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.03527
2008,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.0307
2009,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01602
2010,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01264
2011,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01141
2012,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01197
2013,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01398
2014,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.01825
2015,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.02312
2016,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.02833
2017,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.0351
2018,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.03722
2019,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.0341
2020,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.0353
2021,Millj. kr á íbúa,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.04335
1997,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.02628
1998,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.02942
1999,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.02293
2000,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.03878
2001,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.04844
2002,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.0451
2003,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.03895
2004,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.0463
2005,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.03394
2006,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.06216
2007,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.0573
2008,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.1363
2009,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.10995
2010,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.22399
2011,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.21274
2012,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.14537
2013,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.13965
2014,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.16388
2015,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.15072
2016,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.10385
2017,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.13631
2018,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.08533
2019,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.09489
2020,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.08188
2021,Millj. kr á íbúa,C: 24 Framleiðsla málma,0.10817
1997,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.0193
1998,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02153
1999,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02205
2000,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02267
2001,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.0225
2002,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02271
2003,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02174
2004,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02224
2005,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02499
2006,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.02908
2007,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.03613
2008,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.03494
2009,Millj. kr á íbúa,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.0244
